target_rank,feasible,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie
4,True,0.0,0.0,0.0,0.0,2.8076521841298385,0.0,0.49292383855824573
4,True,0.0,0.0,0.0,0.0,1.2486409520842456,0.0,5.6341422985394685
4,True,0.0,0.0,0.0,0.0,2.6483850360552896,0.0,0.9928266175643796
4,True,0.0,0.0,0.0,0.0,2.8570413899247638,0.0,0.3345331688600184
4,True,0.0,0.0,0.0,0.0,2.0548229962185416,0.0,2.9097882512785223
4,True,0.0,0.0,0.0,0.0,2.3947414076244677,0.0,1.8039907475227657
4,True,0.0,0.0,0.0,0.0,2.5813464793671637,0.0,1.203661848308446
4,True,0.0,0.0,0.0,0.0,2.4220410377599477,0.0,1.7187992811436459
4,True,0.0,0.0,0.0,0.0,0.5833747889927743,0.0,7.989688361231351
4,True,0.0,0.0,0.0,0.0,2.565639997628555,0.0,1.2577289871067765
4,True,0.0,0.0,0.0,0.0,0.15945157970261858,0.0,9.548476437256193
4,True,0.0,0.0,0.0,0.0,0.7375355845239406,0.0,7.431636436719824
4,True,0.0,0.0,0.0,0.0,1.4643098994327475,0.0,4.888053053982755
4,True,0.0,0.0,0.0,0.0,1.2428239890508896,0.0,5.649430728176319
4,True,0.0,0.0,0.0,0.0,1.7479029349045772,0.0,3.9286474080054035
4,True,0.0,0.0,0.0,0.0,1.6381330051731036,0.0,4.298569900712024
4,True,0.0,0.0,0.0,0.0,1.2469602793920176,0.0,5.641472573688311
4,True,0.0,0.0,0.0,0.0,0.018885129102197418,0.0,10.074615301423917
4,True,0.0,0.0,0.0,0.0,0.46520362088335876,0.0,8.419700791000452
4,True,0.0,0.0,0.0,0.0,1.3814388536692812,0.0,5.1771454083772595
4,True,0.0,0.0,0.0,0.0,0.6254178613754657,0.0,7.833807843915963
4,True,0.0,0.0,0.0,0.0,2.8180127729083626,0.0,0.459227926462491
4,True,0.0,0.0,0.0,0.0,2.6576383478151278,0.0,0.9644981373888362
4,True,0.0,0.0,0.0,0.0,0.573403117941429,0.0,8.037381068074168
4,True,0.0,0.0,0.0,0.0,0.43972888494836493,0.0,8.526046886080941
4,True,0.0,0.0,0.0,0.0,0.9719970968230185,0.0,6.61610614821182
4,True,0.0,0.0,0.0,0.0,2.7634511355085767,0.0,0.6459770841017676
4,True,0.0,0.0,0.0,0.0,1.361418602508524,0.0,5.2407142736845
4,True,0.0,0.0,0.0,0.0,2.100906087059795,0.0,2.7608560224463785
4,True,0.0,0.0,0.0,0.0,1.2894089491416794,0.0,5.508098442969045
4,True,0.0,0.0,0.0,0.0,0.26190542909886316,0.0,9.178073671944286
4,True,0.0,0.0,0.0,0.0,1.281892975003518,0.0,5.5214694450466
4,True,0.0,0.0,0.0,0.0,2.0687454114656667,0.0,2.862180810282511
4,True,0.0,0.0,0.0,0.0,2.9176035366298203,0.0,0.14396043918860624
4,True,0.0,0.0,0.0,0.0,1.1131063549639109,0.0,6.1033597395087735
4,True,0.0,0.0,0.0,0.0,0.9884380407536031,0.0,6.54021893572605
4,True,0.0,0.0,0.0,0.0,2.468206042769794,0.0,1.5672414456248784
4,True,0.0,0.0,0.0,0.0,2.42678093681461,0.0,1.6984171687224547
4,True,0.0,0.0,0.0,0.0,0.529104831812699,0.0,8.187199679059354
4,True,0.0,0.0,0.0,0.0,0.8439281994073622,0.0,7.050515943406999
4,True,0.0,0.0,0.0,0.0,0.9979019381506804,0.0,6.505857319791963
4,True,0.0,0.0,0.0,0.0,1.0120998261239467,0.0,6.469943561572977
4,True,0.0,0.0,0.0,0.0,2.579423177638307,0.0,1.21069570141622
4,True,0.0,0.0,0.0,0.0,1.324206408896078,0.0,5.373252666005812
4,True,0.0,0.0,0.0,0.0,2.0515074509159903,0.0,2.918560817891991
4,True,0.0,0.0,0.0,0.0,0.6864343355479141,0.0,7.613013059095463
4,True,0.0,0.0,0.0,0.0,2.9516122253331667,0.0,0.039895867648098715
4,True,0.0,0.0,0.0,0.0,2.3388146409234256,0.0,1.9857466240455812
4,True,0.0,0.0,0.0,0.0,0.13255363194262237,0.0,9.668202151939342
